,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DEGATS SECTEUR HABITAT,,,,,,,,,,HITORIQUE DES CYCLONES-INONDATION (10 ans)/ BDD BNGRC,,,,,,
,,Secteur, Faible ,, Moderé ,, Fort ,,,,,Année, Types , Nom du système ,, Sinistrées ,,
,,Case d'habitation totalement détruite, 240   ,, 351   ,, 524   ,,,,,2014-2015, FTT , CHEDZA ,," 2,419   ",,
,,Case d'habitation innondée , 405   ,, 592   ,, 885   ,,,,,2014-2015, ZCIT , ZCIT 2 ,," 22,482   ",,
,,Case d'habitation endommagés/ décoiffés, 837   ,," 1,224   ",," 1,829   ",,,,,2016-2017, CT , ENAWO ,," 10,964   ",,
,,TOTAL," 1,482   ",," 2,167   ",," 3,237   ",,,,,2017-2018, CT , AVA ,," 1,475   ",,
,,Ménages sans-abris (15 jours et +), 645   ,, 943   ,," 1,409   ",,,,,2017-2018, FTT , ELIAKIM ,, 982   ,,
,,Personnes sans-abris (15 jours et +)," 2,709   ",," 3,960   ",," 5,917   ",,,,,2019-2020, ZCIT , Forte pluie de 19 au 24 Janvier 2020 ,," 30,850   ",,
,,,,,,,,,,,,2020-2021, ZCIT , ZCIT (07 au 16 Févr 21)/glissement de terrain ,, 514   ,,
,,DEGATS SECTEUR PROTECTION ET NUTRITION,,,,,,,,,,2021-2022, CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) ,," 1,530   ",,
,,Indicateur (Personnes devant faire l'objet d'une mésure de protection), Faible ,, Moderé ,, Fort ,,,,,2021-2022, ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA ,," 7,314   ",,
,,,,,,,,,,,,2022-2023, FTT , FTT  CHENESO du 17 Janvier 2023 ,, 16   ,,
,,, Base sinistré , En site , Base sinistré , En site , Base sinistré , En site ,,,,,,,,,,
,,Enfant moins de 5 ans, 881   , 235   ," 1,285   ", 343   ," 1,921   ", 513   ,,,,,,,,,,
,,Handicap, 372   , 99   , 543   , 145   , 812   , 217   ,,,,,,,,,,
,,FEFA, 578   , 154   , 844   , 225   ," 1,261   ", 337   ,,,,,,,,,,
,,Agées + 60 ans, 279   , 75   , 407   , 109   , 609   , 163   ,,,,,,,,,,
,,TOTAL," 2,111   ", 564   ," 3,079   ", 822   ," 4,602   "," 1,229   ",,,,,,,,,,
,,Personnes en situation de malnutrition," 1,459   ", 390   ," 2,129   ", 569   ," 3,182   ", 850   ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DEGATS AUTRES SECTEURS CLES,,,,,,,,,,,,,,,,
,,Indicateurs, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,"Secteur EDUCATION
(Norme : 45 à 50 élèves/ Salle de classe)", Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement,,,,,,,,,,
,,Case d'habitation totalement détruite, 12   , 600   , 24   ," 1,192   ", 44   ," 2,200   ",,,,,,,,,,
,,Case d'habitation innondée , 16   , 800   , 27   ," 1,325   ", 59   ," 2,950   ",,,,,,,,,,
,,Case d'habitation endommagés/ décoiffés, 15   , 750   , 21   ," 1,050   ", 29   ," 1,450   ",,,,,,,,,,
,,Total EDUCATION , 43   ," 2,150   ", 71   ," 3,567   ", 132   ," 6,600   ",,,,,,,,,,
,,Elèves privés de cours à cause de l'évènement," 6,886   ",," 9,469   ",," 15,014   ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur SANTE
(Norme : 500 ménages/ Formation sanitaire)", Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire,,,,,,,,,,
,,CSB1/ CSB2 totalement détruit, 11   ," 22,884   ", 22   ," 45,451   ", 40   ," 83,909   ",,,,,,,,,,
,,CSB1/ CSB2 endommagés, 15   ," 30,512   ", 24   ," 50,536   ", 54   ," 112,515   ",,,,,,,,,,
,,CSB1/ CSB2 décoiffés, 14   ," 28,605   ", 19   ," 40,048   ", 26   ," 55,304   ",,,,,,,,,,
,,Total SANTE , 39   ," 82,002   ", 65   ," 136,035   ", 120   ," 251,728   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur WASH
(Norme : 50 ménages/ Point d'eau)/ Source d'eau amélioré (Borne fontaine, puits aménagé couvert)", Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène, Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène, Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène,,,,,,,,,,
,,Source d'eau totalement détruite,,,,,,,,,,,,,,,,
,,Source d'eau endommagé ou inondé,,,,,,,,,,,,,,,,
,,Source d'eau amélioré inondé,,,,,,,,,,,,,,,,
,,Total WASH , 98   ," 4,924   ", 135   ," 6,771   ", 215   ," 10,735   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur SAMS
Ménages Agricoles/ Branche d'activité touché (zones affectées)", % par rapport au ménages exposéss ,Ménages touché/ spéculation, % par rapport au ménages exposéss ,Ménages touché/ spéculation, % par rapport au ménages exposéss ,Ménages touché/ spéculation,,,,,,,,,,
,,Agriculture,8.10%," 4,170   ",10.30%," 5,735   ",10.18%," 9,092   ",,,,,,,,,,
,,Elévage,6.80%," 3,501   ",8.65%," 4,814   ",8.54%," 7,632   ",,,,,,,,,,
,,Pêche,1.56%, 803   ,1.98%," 1,104   ",1.96%," 1,750   ",,,,,,,,,,
,,Total SAMS (Ménages agicoles ménacé d'insécurité alimentaire),8.53%," 4,392   ",10.85%," 6,039   ",10.72%," 9,576   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,ANALAMANGA,,,,,,,,"Descriptions : 
(1) IARIVO-CENTRE : RIZ, CULTURES MARAICHERES, EUCALYPTUS (ZONE 11) : (Ambohidratrimo, Andramasina, Atsimondrano, Avaradrano, Antananarivo Renivohitra, Manjakandriana) : La zone 11 est une zone d’altitude dans laquelle on trouve un grand nombre de montagnes séparées entre elles par des plaines et basfonds, lacs, fleuves et rivières. Le couvert forestier comprend les vestiges de forêt naturelle, des plantations d’eucalyptus, une forêt de Tapia, ainsi que des steppes et savanes. La zone est bien arrosée (1200 à 1500 mm de pluies par an) principalement entre novembre/décembre et avril. Les sols sont moyennement fertiles. La densité de population est très forte (>250 habitants/km2 en milieu urbain et 25 à 250 habitants/km2 en milieux rural et périurbain).

(2) MOYEN-OUEST AGROPASTORALE : RIZ, MAÏS, LEGUMINEUSES (ZONE 10) : La zone se situe à l’ouest du pays et couvre le nord-est de la région de Menabe, l’est de Melaky, la région de Bongolava, l’ouest d’Analamanga et le nord-ouest du Vakinankaratra. La végétation se compose de savane herbeuse interrompue par des formations rizicoles. La zone reçoit entre 1000 et 1400 mm de pluie par an.",,,,,,
,,,,"Ambohidratrimo, Andramasina, Anjozorobe, Ankazobe, Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo Renivohitra, Manjakandriana",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,VULNERABILITE DE LA REGION,,,,,,,,,,DESCRIPTION DE LA ZONE,,,,,,
,,, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,Types de système, CT ,, ZCIT ,, ZCIT ,,,,,Nombre de population,,," 4,122,621   ",,,
,,Nom, AVA ,, ZCIT 2 ,, ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA ,,,,,Nombre de district,,, 8   ,,,
,,Année, 2017-2018 ,, 2014-2015 ,, 2021-2022 ,,,,,Nombre de Commune,,, 145   ,,,
,,Vent moyen, -   ,, -   ,, -   ,,,,,Nombre de FKT,,," 1,707   ",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Zone exposées,,,,,,,,,,DONNEES STATISTIQUES  DE BASE,,,,,,
,,Population exposée," 1,439,936   ",34.93%," 1,830,236   ",44.39%," 948,985   ",23.02%,,,,Taille de ménage,,,, 4.0   ,,
,,Menages exposés," 359,984   ",," 457,559   ",," 237,246   ",,,,,Population 5-17 ans scolarisable ,,,,28.80%,,
,,Commune exposée, 47   ,32.41%, 78   ,53.79%, 84   ,57.93%,,,,Enfant moins de 5 ans,,,,11.70%,,
,,Zones affectées,,,,,,,,,,Prévalence (en %) du handicap,,,,5.00%,,
,,Personnes affectées," 154,648   ",3.75%," 280,763   ",6.81%," 253,278   ",6.14%,,,,Femmes enceintes et allaitantes,,,,8.32%,,
,,Personnes sinistrées," 37,228   ",0.90%," 89,367   ",2.17%," 75,983   ",1.84%,,,,Personnes agées + 60 ans,,,,5.60%,,
,,Menages sinistrées," 9,307   ",," 22,342   ",," 18,996   ",,,,,,,,,,,
,,Déplacement préventive (pers)," 4,364   ",," 10,476   ",," 8,907   ",,,,,DONNEES HEA/ DESCRIPTION ZONES,,,,,,
,,Somme pers déplacées en site (%/pop)," 21,820   ",0.53%," 52,378   ",1.27%," 44,534   ",1.08%,,,, ZME , MG11 ," PRINCIPAUX ALEAS, PERIODE, FREQUENCE ",,,,
,,Nombre commune affectées, 47   ,32.41%, 78   ,53.79%, 84   ,57.93%,,,,Très pauvres,23.64%,Iarivo-Centre (MG11)," - Inondation, cyclone (Nov-avril ; 1/3 ans)
 - Maladies, ravageurs de cultures ",,,
,,Nombre FKT affectés, 246   ,14.38%, 373   ,21.87%, 431   ,25.25%,,,,Pauvre,33.50%,,,,,
,,,,,,,,,,,,Moyens,,"Moyen-Ouest
(MG10)"," - Vol de bovins (Tout le temps)
 - Criquets (Décembre-juin)",,,
,,,,,,,,,,,,Riches,,,,,,
,,,,,,,,,,,,,,,,,,
,,en,,,,,,,,,,HITORIQUE DES CYCLONES-INONDATION (10 ans)/ BDD BNGRC,,,,,,
,,Secteur, Faible ,, Moderé ,, Fort ,,,,,Année, Types , Nom du système ,, Sinistrées ,,
,,Case d'habitation totalement détruite," 1,745   ",," 4,139   ",," 3,342   ",,,,,2014-2015, FTT , CHEDZA ,," 50,773   ",,
,,Case d'habitation innondée ," 1,746   ",," 4,141   ",," 3,344   ",,,,,2016-2017, ZCIT , ZCIT 2 ,," 64,473   ",,
,,Case d'habitation endommagés/ décoiffés," 5,927   ",," 14,056   ",," 11,351   ",,,,,2017-2018, CT , ENAWO ,," 33,883   ",,
,,TOTAL," 9,418   ",," 22,336   ",," 18,037   ",,,,,2018-2019, CT , AVA ,," 40,636   ",,
,,Ménages sans-abris (15 jours et +)," 3,491   ",," 8,280   ",," 6,686   ",,,,,2018-2019,, Glissement de terrain ,, 288   ,,
,,Personnes sans-abris (15 jours et +)," 13,965   ",," 33,119   ",," 26,745   ",,,,,2019-2020, ZCIT , Inondation (due aux fortes pluies) ,, 555   ,,
,,,,,,,,,,,,2019-2020,, Risque rupture de digue SISAONY ,," 31,827   ",,
,,DEGATS SECTEUR PROTECTION ET NUTRITION,,,,,,,,,,2019-2020, ZCIT , Forte pluie de 19 au 24 Janvier 2020 ,," 1,291   ",,
,,Indicateur (Personnes devant faire l'objet d'une mésure de protection), Faible ,, Moderé ,, Fort ,,,,,2019-2020, ZCIT , Pluie torentielle 08 Janvier 2020 ,," 1,961   ",,
,,,,,,,,,,,,2019-2020, ZCIT , ZCIT 2 (30 Décembre au 04 Janvier) ,, 51   ,,
,,, Base sinistré , En site , Base sinistré , En site , Base sinistré , En site ,,,,2020-2021, ZCIT , ZCIT (07 au 16 Févr 21)/glissement de terrain ,, 801   ,,
,,Enfant moins de 5 ans," 4,356   "," 2,553   "," 10,456   "," 6,128   "," 8,890   "," 5,210   ",,,,2021-2022, ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA ,," 118,189   ",,
,,Handicap," 1,861   "," 1,091   "," 4,468   "," 2,619   "," 3,799   "," 2,227   ",,,,2022-2023, FTT , FTT  CHENESO du 17 Janvier 2023 ,," 3,342   ",,
,,FEFA," 3,099   "," 1,816   "," 7,438   "," 4,360   "," 6,324   "," 3,707   ",,,,,,,,,,
,,Agées + 60 ans," 2,085   "," 1,222   "," 5,005   "," 2,933   "," 4,255   "," 2,494   ",,,,,,,,,,
,,TOTAL," 11,400   "," 6,682   "," 27,367   "," 16,040   "," 23,269   "," 13,638   ",,,,,,,,,,
,,Personnes en situation de malnutrition," 7,454   "," 4,369   "," 17,894   "," 10,488   "," 15,214   "," 8,917   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DEGATS AUTRES SECTEURS CLES,,,,,,,,,,,,,,,,
,,Indicateurs, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,"Secteur EDUCATION
(Norme : 45 à 50 élèves/ Salle de classe)", Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement,,,,,,,,,,
,,Salle de classe totalement détruite, 22   ," 1,100   ", 23   ," 1,150   ", 30   ," 1,500   ",,,,,,,,,,
,,Salle de classe endommagée, 26   ," 1,300   ", 57   ," 2,850   ", 130   ," 6,500   ",,,,,,,,,,
,,Salle de classe décoiffée, 31   ," 1,550   ", 83   ," 4,125   ", 158   ," 7,900   ",,,,,,,,,,
,,Total EDUCATION , 79   ," 3,950   ", 162   ," 8,125   ", 318   ," 15,900   ",,,,,,,,,,
,,Elèves privés de cours à cause de l'évènement," 44,539   ",," 80,860   ",," 72,944   ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur SANTE
(Norme : 500 ménages/ Formation sanitaire)", Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire,,,,,,,,,,
,,CSB1/ CSB2 totalement détruit, 12   ," 24,828   ", 13   ," 25,956   ", 17   ," 33,856   ",,,,,,,,,,
,,CSB1/ CSB2 endommagés, 15   ," 29,342   ", 32   ," 64,318   ", 73   ," 146,708   ",,,,,,,,,,
,,CSB1/ CSB2 décoiffés, 17   ," 34,984   ", 47   ," 93,103   ", 89   ," 178,307   ",,,,,,,,,,
,,Total SANTE , 45   ," 89,154   ", 92   ," 183,378   ", 179   ," 358,871   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur WASH
(Norme : 50 ménages/ Point d'eau)/ Source d'eau amélioré (Borne fontaine, puits aménagé couvert)", Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène, Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène, Nbrs point d'eau ,Ménages n'ayant pas accès au wash et hygiène,,,,,,,,,,
,,Case d'habitation totalement détruite,,,,,,,,,,,,,,,,
,,Case d'habitation innondée ,,,,,,,,,,,,,,,,
,,Case d'habitation endommagés/ décoiffés,,,,,,,,,,,,,,,,
,,Total WASH , 773   ," 38,662   "," 1,404   "," 70,191   "," 1,266   "," 63,319   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur SAMS
Ménages Agricoles/ Branche d'activité touché (zone exposée)", % ,Ménages touché/ spéculation, % ,Ménages touché/ spéculation, % ,Ménages touché/ spéculation,,,,,,,,,,
,,Agriculture,4.81%," 17,321   ",6.87%," 31,445   ",11.96%," 28,367   ",,,,,,,,,,
,,Elévage,5.05%," 18,171   ",7.21%," 32,990   ",12.54%," 29,760   ",,,,,,,,,,
,,Pêche,0.88%," 3,170   ",1.26%," 5,756   ",2.19%," 5,192   ",,,,,,,,,,
,,Total SAMS (Ménages agicoles ménacé d'insécurité alimentaire),5.98%," 21,535   ",8.54%," 39,096   ",14.87%," 35,269   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,ANALANJIROFO,,,,,,,,"Descriptions : 
(1)  GIROFLE, CAFE, COMMERCE (ZONE 8)
La zone 8 sur la côte Est suit assez bien les limites de la région d’Analanjirofo. Elle est principalement formée de plaines côtières et de contreforts à pente douce menant aux hautes terres de la zone 7 à l’ouest. Elle est surtout composée de savanes arborées et de forêts secondaires. Les sols deviennent graduellement plus argileux au fur et à mesure que l’on va vers l’ouest. La pluviométrie annuelle se situe entre 1500 et 2000 mm/an, avec des quantités plus élevées vers l’est et des pluies concentrées entre novembre et avril.

(1) NORD : VANILLE, GIROFLE, COCOTIER (ZONE 2)
Zone de plaines littorales sablonneuses et argileuses située principalement sur la côte nord-est, mais ayant 
aussi une petite partie sur la côte nord-ouest de Madagascar. Sur les collines et les montagnes, on y 
trouve les forêts humides des réserves Masoala et Marojejy, ainsi que les cuvettes d’Andapa et Ambinanintelo. Les sols sont relativement fertiles et la pluviométrie moyenne se situe entre 1500 
mm/an (côte ouest) et 2000 mm/an (côte est) ; les pluies sont surtout concentrées entre mai à octobre. Il y a moins de 60 jours sans pluies/an sur la côte est, et les saisons se différencient davantage par rapport à la température. Celle-ci est relativement élevée de septembre à avril et plus fraiche de mai à octobre. ",,,,,,
,,,,"Ambohidratrimo, Andramasina, Anjozorobe, Ankazobe, Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo Renivohitra, Manjakandriana",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,VULNERABILITE DE LA REGION,,,,,,,,,,DESCRIPTION DE LA ZONE,,,,,,
,,, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,Types de système, FTT ,, FTT ,, CT ,,,,,Nombre de population,,," 1,286,856   ",,,
,,Nom, FTT  CHENESO du 17 Janvier 2023 ,, ELIAKIM ,, ENAWO ,,,,,Nombre de district,,, 6   ,,,
,,Année, 2022-2023 ,, 2017-2018 ,, 2016-2017 ,,,,,Nombre de Commune,,, 71   ,,,
,,Vent moyen, -   ,, -   ,, -   ,,,,,Nombre de FKT,,, 834   ,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Zone exposées,,,,,,,,,,DONNEES STATISTIQUES  DE BASE,,,,,,
,,Population exposée," 264,327   ",20.54%," 370,958   ",28.83%," 494,800   ",38.45%,,,,Taille de ménage,,,, 3.6   ,,
,,Menages exposés," 73,424   ",," 103,044   ",," 137,445   ",,,,,Population 5-17 ans scolarisable ,,,,31.50%,,
,,Commune exposée, 31   ,43.66%, 41   ,57.04%, 41   ,57.04%,,,,Enfant moins de 5 ans,,,,12.70%,,
,,Zones affectées,,,,,,,,,,Prévalence (en %) du handicap,,,,6.00%,,
,,Personnes affectées," 51,639   ",4.01%," 115,658   ",8.99%," 251,805   ",19.57%,,,,Femmes enceintes et allaitantes,,,,8.74%,,
,,Personnes sinistrées," 16,437   ",1.28%," 36,814   ",2.86%," 75,541   ",5.87%,,,,Personnes agées + 60 ans,,,,4.80%,,
,,Menages sinistrées," 4,566   ",," 10,226   ",," 20,984   ",,,,,,,,,,,
,,Déplacement préventive (pers), -   ,, -   ,, -   ,,,,,DONNEES HEA/ DESCRIPTION ZONES,,,,,,
,,Somme pers déplacées en site (%/pop)," 11,288   ",0.88%," 25,281   ",1.96%," 51,877   ",4.03%,,,, ZME , MG08 ," PRINCIPAUX ALEAS, PERIODE, FREQUENCE ",,,,
,,Nombre commune affectées, 31   ,43.66%, 41   ,57.04%, 41   ,57.04%,,,,Très pauvres,31.83%,Zone Fénerive-Est (MG02)," - Cyclone (littoral)
 - Inondation (rivières, souvent avec cyclone)",,,
,,Nombre FKT affectés, 90   ,10.73%, 151   ,18.11%, 229   ,27.46%,,,,Pauvre,32.94%,,,,,
,,,,,,,,,,,,Moyens,23.29%,Nord (MG08)," - Prix bas à la récolte (Mai-juillet)
 - Prix à détail élevé de riz (Mars-avril/octobre)",,,
,,,,,,,,,,,,Riches,10.86%,,,,,
,,,,,,,,,,,,,,,,,,
,,DEGATS SECTEUR HABITAT,,,,,,,,,,HITORIQUE DES CYCLONES-INONDATION (10 ans)/ BDD BNGRC,,,,,,
,,Secteur, Faible ,, Moderé ,, Fort ,,,,,Année, Types , Nom du système ,, Sinistrées ,,
,,Case d'habitation totalement détruite, 761   ,," 1,700   ",," 3,485   ",,,,,2016-2017, CT , ENAWO ,," 66,784   ",,
,,Case d'habitation innondée , 982   ,," 2,194   ",," 4,497   ",,,,,2017-2018, CT , AVA ,, 802   ,,
,,Case d'habitation endommagés/ décoiffés," 2,958   ",," 6,611   ",," 13,550   ",,,,,2017-2018, FTT , ELIAKIM ,," 21,994   ",,
,,TOTAL," 4,700   ",," 10,505   ",," 21,532   ",,,,,2020-2021, FTT , FTT ELOISE (17 au 23 Janv 21) ,," 2,384   ",,
,,Ménages sans-abris (15 jours et +)," 1,742   ",," 3,894   ",," 7,982   ",,,,,2021-2022, CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) ,, 36   ,,
,,Personnes sans-abris  (15 jours et +)," 6,272   ",," 14,019   ",," 28,735   ",,,,,2021-2022, TTM , TTM DUMAKO (14 AU 16 F2vrier 2022) ,, 418   ,,
,,,,,,,,,,,,2021-2022, TTM , TTM GOMBE (07 au 09 Mars 2022) ,, 801   ,,
,,DEGATS SECTEUR PROTECTION ET NUTRITION,,,,,,,,,,2022-2023, FTT , FTT  CHENESO du 17 Janvier 2023 ,," 12,650   ",,
,,Indicateur (Personnes devant faire l'objet d'une mésure de protection), Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, Base sinistré , En site , Base sinistré , En site , Base sinistré , En site ,,,,,,,,,,
,,Enfant moins de 5 ans," 2,087   "," 1,434   "," 4,675   "," 3,211   "," 9,594   "," 6,588   ",,,,,,,,,,
,,Handicap, 986   , 677   ," 2,209   "," 1,517   "," 4,532   "," 3,113   ",,,,,,,,,,
,,FEFA," 1,436   ", 986   ," 3,216   "," 2,209   "," 6,600   "," 4,532   ",,,,,,,,,,
,,Agées + 60 ans, 789   , 542   ," 1,767   "," 1,214   "," 3,626   "," 2,490   ",,,,,,,,,,
,,TOTAL," 5,299   "," 3,639   "," 11,867   "," 8,150   "," 24,352   "," 16,723   ",,,,,,,,,,
,,Personnes en situation de malnutrition," 3,523   "," 2,420   "," 7,892   "," 5,419   "," 16,193   "," 11,121   ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DEGATS AUTRES SECTEURS CLES,,,,,,,,,,,,,,,,
,,Indicateurs, Faible ,, Moderé ,, Fort ,,,,,,,,,,,
,,"Secteur EDUCATION
(Norme : 45 à 50 élèves/ Salle de classe)", Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement, Nbrs salle ,Elèves privés de cours directement,,,,,,,,,,
,,Salle de classe totalement détruite, 21   ," 1,050   ", 51   ," 2,545   ", 96   ," 4,800   ",,,,,,,,,,
,,Salle de classe endommagée, 39   ," 1,950   ", 96   ," 4,786   ", 168   ," 8,400   ",,,,,,,,,,
,,Salle de classe décoiffée, 31   ," 1,550   ", 76   ," 3,784   ", 221   ," 11,050   ",,,,,,,,,,
,,Total EDUCATION , 91   ," 4,550   ", 222   ," 11,115   ", 485   ," 24,250   ",,,,,,,,,,
,,Elèves privés de cours à cause de l'évènement," 16,266   ",," 36,432   ",," 79,318   ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"Secteur SANTE
(Norme : 500 ménages/ Formation sanitaire)", Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire, Nbrs formation sanitaire ,Nbrs pers en rupture de soin primaire,,,,,,,,,,
,,CSB1/ CSB2 totalement détruit, 2   ," 4,239   ", 6   ," 10,274   ", 11   ," 19,377   ",,,,,,,,,,
